founded_year,country,region,industry,funding_round,funding_amount_usd,lead_investor,co_investors,employee_count,estimated_revenue_usd,estimated_valuation_usd,exited,exit_type,tags,funding_year,funding_month
2013,123,1,3,5,143945000,6,221,911,29423941.26275553,880774452.8602885,True,2,6792,2015,9
2023,90,1,0,3,717184000,1,222,672,305421675.6763303,6504019743.52586,False,2,1878,2018,8
2011,95,5,6,2,898340000,6,185,841,213147070.32882604,4283474015.940704,False,2,6106,2020,1
2019,96,2,0,5,482941000,2,112,996,106318851.20011182,4631523088.139292,False,2,8067,2019,3
2020,14,0,4,3,377824000,5,40,896,90232271.28083736,3223921869.937955,False,2,7014,2023,6
2014,105,4,0,4,150041000,5,164,105,47710597.49990656,1497988498.7528243,False,2,16559,2020,10
2018,215,5,4,3,137340000,2,14,896,38854528.14836827,1303421024.9780362,False,2,11950,2019,4
2022,223,4,1,4,888320000,0,186,202,218688389.8942887,4523625693.388018,False,2,7000,2015,8
2012,98,0,1,0,868423000,4,223,397,118422340.5564426,8433716135.181963,False,2,759,2025,3
2018,31,3,3,2,143963000,0,199,220,71243633.34613946,364563626.3313485,False,2,7033,2020,10
2012,219,3,0,1,180291000,6,136,658,77453722.40750194,873269026.9198867,False,2,11617,2023,2
2008,181,3,3,4,1653377000,3,161,363,150079274.25725088,7991362004.502297,False,2,5765,2019,2
2011,155,5,2,4,320559000,2,256,507,153358927.6193405,2433852959.4563293,False,2,18532,2024,2
2012,127,3,3,4,1074239000,2,87,118,82991985.50557868,3894826174.2119374,False,2,12854,2018,7
2022,77,2,0,3,1064784000,3,17,379,288629364.68842965,5265571817.088479,False,2,12290,2018,2
2013,188,1,3,2,2027897000,1,64,388,114790439.54026984,14771070767.288488,True,0,17441,2024,5
2008,144,3,0,4,273231000,2,111,606,13675103.43544969,684298352.0137811,True,2,5364,2024,12
2013,156,4,6,5,1549071000,3,67,907,178527481.00141698,9971325526.88214,False,2,5364,2017,12
2005,142,4,5,4,315812000,0,247,255,112216641.71257348,1211537913.7294269,False,2,7597,2022,1
2019,172,4,2,6,1167062000,5,153,540,327364201.2715672,3802970137.088128,False,2,3511,2020,12
2010,132,0,2,3,455464000,5,111,506,151449264.87192315,3068734902.299183,False,2,13311,2023,2
2008,38,5,2,2,312269000,2,148,827,67847414.48287809,2849516807.512177,False,2,6861,2022,7
2018,33,2,0,5,71264000,2,111,572,23192814.22836994,642028407.6454463,False,2,18550,2022,1
2007,63,3,1,3,167412000,4,111,319,43272545.2903995,1435768901.8557918,True,2,9310,2017,2
2021,164,3,2,5,471686000,1,74,278,64784513.28399305,1287567986.3017788,False,2,12814,2024,11
2006,215,3,5,2,141735000,6,25,650,26620094.29442589,436816822.0039716,False,2,16226,2020,2
2020,118,4,4,6,77072000,4,212,835,12553328.350812392,574822955.8999507,False,2,5386,2021,7
2007,34,2,4,5,2443952000,0,142,767,712012912.9929757,15622776243.76824,False,2,15705,2025,3
2007,206,1,4,5,101634000,3,240,170,16449188.597609833,627320036.7388909,False,2,16190,2022,5
2006,118,1,3,2,416247000,5,19,654,128070989.52794968,1438535051.2142715,False,2,9741,2018,5
2015,62,5,0,5,289085000,4,3,645,47829497.10054015,1085874998.9071867,False,2,8805,2016,6
2007,70,1,3,3,353611000,4,44,416,173458428.63837653,1708310035.280029,True,0,7532,2017,7
2020,154,0,6,0,235061000,5,89,733,60467439.4895296,1698244738.3764522,False,2,8661,2019,11
2015,80,1,3,4,718535000,3,216,998,313212182.32975847,6000920855.672805,False,2,10397,2016,7
2012,187,0,4,3,519216000,6,18,13,248305836.74687007,1996968643.1122437,False,2,1174,2024,8
2015,32,4,6,3,1166476000,2,16,555,385942782.0420232,11454052204.300182,False,2,9611,2019,7
2019,99,1,4,4,593084000,3,0,463,56437115.0385029,3270647135.3488197,False,2,17394,2018,1
2007,66,2,3,5,413761000,5,56,502,158387863.39285848,928158278.0256236,False,2,14347,2022,8
2013,219,2,0,0,576883000,5,73,17,209222023.6396755,5467128186.725656,False,2,2172,2019,11
2007,208,2,6,0,342405000,5,167,192,21420655.45831604,3128275919.9360437,False,2,7986,2016,12
2009,157,1,2,2,415489000,1,222,236,155863322.66959342,1185594152.7673397,False,2,18057,2020,9
2014,95,4,0,5,346889000,3,185,207,64411800.12303639,2858437692.1117764,True,2,11629,2024,4
2021,126,5,4,4,539618000,0,181,948,154565714.90682656,5208759274.998917,True,1,8223,2022,6
2006,63,3,3,0,4086964000,0,143,752,1141908018.6131096,39004856272.8555,False,2,10673,2020,5
2014,177,3,5,0,348736000,5,190,763,79998849.70908035,1338578372.745314,False,2,11792,2021,8
2014,108,1,6,3,1165334000,1,2,129,319385832.08733183,5633246030.795826,False,2,15035,2017,6
2018,207,4,3,4,274865000,3,102,267,81062363.90259857,842691467.9251941,False,2,8547,2024,10
2017,11,3,2,3,2436960000,1,183,839,1028336037.25249,22939856221.615574,False,2,14040,2017,7
2007,193,0,0,4,1031375000,3,186,709,242837817.33285445,8172754113.148559,True,0,4688,2020,10
2022,51,4,4,4,377950000,0,148,326,54831718.85627115,1623446254.4431798,True,2,8164,2020,11
2009,160,1,5,3,140241000,2,12,993,47898763.53609248,682718071.0199194,False,2,16404,2017,1
2010,198,2,0,1,44305000,2,87,44,5584032.289612523,114845645.34629913,False,2,9741,2020,2
2010,167,1,5,3,1996992000,3,37,345,312138182.8268476,4915803007.758877,False,2,2970,2017,1
2016,171,0,5,3,1742210000,2,250,324,353465393.7238969,8879850013.963457,False,2,3282,2018,5
2013,24,1,5,6,766639000,2,74,12,319907705.07322943,2898587924.233231,True,1,3663,2025,6
2016,86,3,6,3,443907000,3,213,589,151277102.8141458,3017340374.87286,False,2,5864,2015,7
2013,209,3,5,3,140386000,3,161,870,52117301.60023752,344508571.684337,False,2,283,2021,12
2021,29,5,3,3,84142000,1,13,498,32950391.459324703,755750307.1184474,False,2,13684,2016,1
2011,163,0,4,6,280457000,6,61,178,49529010.03670512,774550614.4125522,False,2,3882,2017,7
2009,0,5,0,3,270511000,0,13,327,52773984.159882426,1705731084.963323,False,2,16240,2021,8
2017,14,3,5,3,325686000,6,17,307,158985714.89136043,1691926405.2694125,False,2,10148,2018,9
2017,101,2,6,5,236208000,4,131,683,30203419.686037973,836360908.542582,False,2,7725,2016,10
2018,145,1,5,6,261120000,4,222,473,102625424.21624015,649724448.0738679,True,2,15056,2024,3
2020,132,5,1,2,445286000,4,130,344,131324794.62653686,2164317514.325058,True,2,7174,2020,10
2005,201,2,2,4,509866000,2,0,438,183865282.5869091,2942768469.5962305,False,2,15590,2016,2
2010,128,5,3,5,119275000,3,0,598,55646921.46813404,516212195.2630194,True,2,1897,2021,5
2011,199,4,6,5,170409000,1,241,237,41984852.525780976,818428623.9461219,False,2,8284,2017,1
2011,142,4,1,0,847844000,6,31,717,197516650.1471732,6999580052.352636,False,2,12309,2022,5
2014,32,4,4,1,155915000,4,38,635,57536987.51540204,551377514.6211057,False,2,9559,2018,4
2015,28,0,2,5,2593138000,6,100,301,868362347.2231952,17633680862.002007,False,2,7550,2022,5
2018,120,0,4,4,699440000,3,118,610,267763047.5876169,1716597762.1234505,True,1,3577,2024,7
2019,18,2,6,3,160485000,3,111,19,49323863.44422016,632060536.590952,False,2,2430,2016,10
2015,87,2,6,4,1241996000,0,195,800,530913431.2347716,7258814366.432974,True,0,1398,2024,2
2005,140,5,2,6,1606353000,1,241,531,727504205.6683431,12620307166.509016,True,2,5661,2022,3
2022,52,4,3,3,827994000,1,222,175,96830469.81338948,7316369398.58251,False,2,8067,2024,1
2014,174,1,2,4,2162631000,6,194,323,1004765395.2861648,8630308688.490116,False,2,2252,2015,7
2009,151,2,2,3,2468642000,3,196,33,389587325.9624564,15072413305.99424,False,2,11817,2020,10
2016,29,1,3,2,305566000,6,231,937,102441345.3997378,1717341359.0547144,False,2,16290,2016,4
2016,224,0,0,5,2570664000,6,0,647,834628357.9227087,22051408799.089382,False,2,2923,2017,7
2021,228,2,3,3,819892000,2,250,560,331516428.9248578,4572448528.824429,False,2,1067,2023,1
2007,149,3,3,3,161308000,5,124,645,31528472.832347646,340094462.4287796,False,2,17626,2018,11
2015,9,5,1,4,225036000,3,243,948,47435172.19096949,1054979863.3528346,False,2,14580,2018,10
2009,119,0,3,3,1421531000,4,204,656,390114588.8510472,10832061366.541502,False,2,6885,2024,1
2018,126,2,2,0,244666000,5,222,964,85240635.1278626,1899947462.2150528,False,2,10745,2023,5
2013,51,0,5,4,1980807000,3,197,463,363701518.05354565,5492721865.674889,False,2,14239,2016,2
2011,37,2,1,5,623305000,5,223,990,212951956.28208655,1540323857.9536154,False,2,4451,2015,7
2011,116,0,1,4,949641000,4,0,853,396990654.6904888,6199667878.717725,False,2,17092,2020,3
2006,121,0,5,4,1014506000,5,198,411,68104502.00992294,8287959662.416953,False,2,11736,2020,1
2018,3,3,2,5,84332000,4,185,608,8455780.315067928,445737239.1500896,False,2,5364,2023,3
2009,22,5,1,5,826451000,5,179,968,43569846.78747082,4317593807.320192,False,2,2037,2018,3
2019,12,1,6,3,1221352000,2,2,535,84111315.51483612,9023347216.08287,False,2,441,2024,4
2017,119,2,2,5,477389000,6,154,966,72070268.73345047,2311452735.561708,False,2,11292,2021,5
2012,237,5,0,4,556716000,5,222,819,272508445.83478177,2111300500.9360144,False,2,12419,2023,7
2009,180,3,4,4,46390000,5,235,116,18358466.00190059,414685506.61717576,False,2,11227,2021,7
2023,124,0,0,4,1783165000,5,111,109,362654344.2425811,12987095455.008076,False,2,10725,2017,3
2014,158,1,5,5,65566000,4,191,507,11301831.804756774,413659380.8168243,False,2,7532,2020,1
2019,13,1,1,3,675126000,1,222,672,80543404.79836534,5729442737.3810005,True,0,7375,2020,8
2019,20,1,5,6,182080000,2,127,360,48080956.94159003,946343889.053246,False,2,9091,2017,2
2022,2,0,6,5,306580000,5,111,439,114910601.2501894,2950536111.2335687,False,2,3755,2019,1
2016,223,5,2,5,203878000,0,37,574,96023393.8870602,1047335039.696434,False,2,2007,2019,6
2005,0,0,4,4,816525000,4,148,970,215060610.56888145,4386870297.752465,False,2,10897,2022,11
2015,128,1,0,5,815533000,5,185,400,162704941.55956927,5405982117.657356,False,2,10217,2017,1
2009,160,3,4,6,314975000,0,216,913,49770810.2072371,2639176469.3459005,True,2,8354,2022,11
2007,192,3,1,6,196847000,6,31,492,70215193.58623123,1502137146.9531326,False,2,2948,2023,7
2016,94,1,0,1,1316058000,0,198,882,398936842.16520286,8955494446.205517,False,2,16820,2017,12
2015,93,5,3,4,184429000,0,36,163,64848815.26709839,1061979082.31632,False,2,1322,2023,10
2017,108,4,3,6,517002000,0,249,40,127857580.92951237,4590974528.869029,False,2,9056,2021,9
2016,100,4,2,5,1162055000,3,185,329,119964167.49982177,7919150381.87627,False,2,637,2016,2
2009,2,2,2,5,114072000,3,148,342,56239397.28504916,494467919.8094576,False,2,16227,2017,1
2010,40,4,6,3,69047000,1,74,331,24379740.806015667,604767872.7858347,False,2,17872,2024,5
2009,1,0,3,3,1048624000,4,190,149,133288089.7290927,5893399122.739841,False,2,953,2020,11
2022,239,3,5,3,123318000,6,27,945,53935540.30438048,662616230.5060439,False,2,1836,2022,6
2007,17,3,5,0,152328000,0,45,320,30859269.447437894,1040108430.0347344,True,2,5576,2024,1
2015,20,3,2,4,206374000,4,111,578,58637029.94519416,1088454000.813021,False,2,12080,2021,12
2016,232,2,3,3,200350000,3,84,152,36612374.27847697,487172874.808931,False,2,8223,2019,3
2017,84,2,3,5,1944389000,5,0,633,842153262.7640287,7551073253.916907,False,2,5167,2020,2
2009,113,4,4,6,487546000,3,74,338,155936001.68890196,4313344071.227349,False,2,3379,2022,6
2005,46,0,2,5,944214000,5,93,905,430882936.0065893,3460611518.5392294,False,2,15684,2016,4
2014,68,1,1,2,376953000,5,148,110,62775556.79530373,1298051221.7247512,True,2,16549,2016,9
2021,105,1,5,2,2014069000,0,77,198,454668908.7308088,14206398312.637138,False,2,4138,2018,9
2014,159,5,2,2,4027884000,0,159,537,1918543667.9204752,13541903344.307272,False,2,15303,2023,4
2014,62,2,6,0,92796000,6,111,64,22630054.702066284,559233261.0050282,False,2,14949,2021,11
2010,124,4,4,6,119398000,0,56,973,46687101.1576617,613336436.7507743,True,1,6321,2018,9
2007,184,5,1,6,1303655000,6,18,53,563711505.4064466,5034882105.446811,False,2,10516,2020,4
2016,49,3,4,3,252709000,3,13,857,48419630.740498416,2173532663.81054,False,2,7646,2016,7
2018,64,3,4,5,341874000,5,167,125,86069360.02251932,1195387371.0006402,True,0,8385,2023,11
2015,89,1,4,4,237373000,5,34,433,31086697.66643207,1281552250.3747628,False,2,16367,2019,1
2005,6,3,4,6,900485000,3,0,103,441828180.5360962,2333942218.774733,False,2,12901,2022,11
2009,43,5,4,1,752874000,0,222,740,111054177.97751464,6062923487.641284,False,2,3857,2025,6
2007,222,4,3,0,49914000,2,185,877,7113511.058172712,211826052.1014492,False,2,4303,2016,8
2014,106,2,1,4,739748000,6,179,913,179891939.08325288,2527874082.61719,True,2,12243,2016,7
2005,177,2,3,1,2508160000,5,37,588,883328453.1332874,9295981728.982325,False,2,15427,2020,7
2017,181,5,2,0,253725000,5,0,192,51400000.92023836,1548986177.9825184,False,2,5394,2024,1
2021,207,2,0,6,916742000,6,33,817,240960461.94009855,5083534411.772737,True,1,1385,2021,11
2017,178,4,1,4,4598839000,0,241,258,1261089145.2530303,25177779673.41538,False,2,17211,2021,12
2021,112,1,4,2,1315102000,6,83,575,440260892.8655357,10232765263.513432,False,2,7720,2021,10
2019,175,2,4,4,496854000,1,37,513,158430548.21700206,3549595260.6250134,False,2,16743,2020,4
2011,180,4,2,6,284009000,1,69,133,141953171.61861044,644380613.6289966,True,0,5786,2020,10
2013,111,2,3,2,476108000,4,74,642,108465307.55684878,1352587322.9083889,True,0,7719,2016,2
2017,57,2,6,4,473551000,0,111,361,114441460.43335854,3982142291.6287074,False,2,8708,2016,6
2011,6,1,3,3,402964000,4,85,11,69613607.31714377,1632690179.499261,False,2,11913,2018,1
2023,125,5,0,3,909464000,2,193,305,379018872.28894246,5109448858.136549,False,2,16578,2021,1
2021,59,0,2,5,94518000,2,105,455,20856530.99052622,925202338.432252,False,2,5478,2025,5
2019,103,4,6,2,425278000,0,161,199,99438284.61387232,1184404661.9462366,False,2,4626,2019,2
2011,198,4,2,1,142554000,4,85,809,24332565.4877058,317543268.9440219,False,2,4495,2018,7
2005,139,0,0,3,596241000,6,181,106,248488399.88489527,3680259186.041688,True,0,17893,2018,12
2008,97,1,6,2,1255400000,2,148,326,401451087.9353108,9549621691.533005,False,2,1712,2023,9
2006,149,5,1,1,1702281000,2,222,929,819235929.6314583,16761440801.41916,False,2,11228,2021,7
2009,83,0,1,3,148779000,3,111,946,50160297.41839474,527985103.3751312,False,2,14949,2018,12
2006,59,0,4,5,101181000,5,43,344,47580530.38750205,286968962.56918913,False,2,3265,2024,8
2021,154,5,6,5,321448000,3,37,56,121606026.47413088,2250812397.421997,True,1,4518,2024,10
2012,39,1,3,4,334490000,2,93,396,39292142.35490717,2286569873.731337,False,2,4177,2023,3
2017,58,1,3,6,216438000,1,210,105,57291325.6575897,440278395.4501388,False,2,3164,2019,11
2022,13,1,5,2,429002000,1,163,735,71296690.42114605,1621431783.372653,False,2,281,2020,6
2016,78,3,6,2,487650000,6,31,862,59233457.29606816,4873133561.735847,False,2,2919,2023,6
2011,155,2,0,4,194497000,5,163,909,85989100.23300038,1387755550.2126334,False,2,9651,2024,1
2022,204,2,1,2,74451000,1,191,492,16074900.44198128,683953603.0637343,False,2,7565,2024,12
2010,185,5,4,5,181297000,5,119,688,61583426.8267918,1700418644.35934,False,2,6565,2021,8
2011,43,3,3,4,1003241000,4,133,918,274293508.67086166,7894402325.033957,True,1,7984,2022,3
2014,67,0,5,3,333508000,1,62,4,105986640.18137246,1402216550.9844294,False,2,1410,2018,12
2023,204,1,3,6,284988000,4,95,240,137048952.99094808,1494139723.77529,False,2,7893,2018,7
2010,94,0,1,3,3355347000,1,185,467,959335243.4889436,16968552588.498625,False,2,4022,2016,11
2011,183,4,5,3,287844000,0,222,344,24319088.64119756,1949154274.1304128,False,2,10120,2020,7
2018,0,3,4,3,684876000,0,192,202,151818349.42541242,2069564129.878643,False,2,621,2018,8
2019,129,4,4,5,1050426000,3,111,431,438397585.3426848,10014747721.160604,False,2,8223,2018,1
2009,161,2,4,4,2245478000,3,71,303,527336020.3655564,13513590890.559671,False,2,888,2018,3
2016,47,0,3,3,200029000,2,148,130,85295240.27224392,533556301.98523873,False,2,326,2017,8
2016,211,4,5,0,86679000,0,100,747,17588267.79733223,620225568.7293415,False,2,16722,2015,11
2006,10,0,3,3,526112000,5,223,791,32751937.512113784,3551572083.767749,True,2,10272,2020,5
2009,175,1,5,3,1262238000,1,56,423,143531113.11421338,9954630937.421804,False,2,13373,2020,4
2006,31,5,1,6,115892000,3,56,10,39465615.28124698,1132257267.9693573,False,2,17396,2023,6
2006,208,2,6,4,335388000,1,7,923,20892142.81195749,2429198007.793202,False,2,477,2021,5
2007,116,5,4,2,748325000,0,147,507,240436317.4196147,1660855067.097206,False,2,12650,2016,2
2023,109,5,3,4,564812000,2,75,147,259995541.29651973,5225641873.424723,True,2,5510,2019,6
2014,20,5,2,5,149036000,0,69,760,17611326.969624337,756594901.4116222,False,2,14392,2022,10
2010,76,2,6,4,423441000,6,0,435,164670935.96136686,3522936678.986927,False,2,1615,2024,1
2013,214,0,4,2,230599000,5,229,267,63309862.40346641,638057608.9443237,True,2,3823,2018,8
2022,155,2,3,5,893024000,6,185,262,136923485.65305775,4070435183.030901,False,2,2948,2017,3
2021,96,2,3,4,364821000,0,234,719,140847256.64082584,2870647415.8572545,True,2,9093,2023,5
2023,135,3,5,6,351955000,6,222,994,99099767.23752926,2019918909.5108256,False,2,17975,2019,11
2008,172,0,0,3,1027615000,5,25,552,480398171.25135714,8379835224.280217,True,1,10011,2025,7
2016,94,1,4,5,372265000,0,66,750,151262814.10425448,2033992722.771153,False,2,7872,2025,5
2011,196,0,3,2,517081000,6,144,851,31284645.255539227,1282726364.1988027,False,2,6674,2019,3
2009,116,1,0,3,137750000,5,0,710,60699814.095190495,1084668993.531205,False,2,1587,2019,5
2019,56,1,0,4,2239821000,6,222,632,133842755.43535767,16787696924.038609,False,2,14205,2021,6
2009,46,4,4,4,308006000,5,42,877,101990285.79928836,2766430651.4089694,True,0,11227,2021,3
2022,31,4,0,4,104921000,4,198,362,26780460.946586795,888463015.5535041,False,2,12581,2019,3
2010,134,1,2,4,278966000,1,111,518,76838694.52250043,2121224010.5084493,False,2,2892,2016,7
2015,214,4,6,3,2036813000,6,53,157,130390241.47834176,18588956145.39747,False,2,2591,2024,9
2021,71,0,4,1,193294000,1,84,748,95009989.04226942,663988630.5076622,False,2,6352,2017,1
2014,197,5,3,5,1079042000,3,229,501,497804160.65530527,4959047915.327092,False,2,6935,2025,6
2005,114,2,1,5,332633000,1,37,197,126869660.42034549,1079814660.6817217,False,2,17848,2018,1
2020,232,3,6,4,2471697000,6,111,574,423347087.1035225,6917940281.392259,False,2,493,2020,6
2013,187,1,1,2,281177000,6,37,397,101930684.24141014,2407372685.7389574,True,0,13024,2022,9
2017,230,5,5,0,996963000,3,111,982,454254433.1379579,2841720327.780129,True,2,2738,2016,4
2010,181,5,2,5,392864000,2,112,427,149919222.34675217,3076436329.149269,False,2,2908,2021,5
2005,207,5,2,1,516173000,5,91,198,27783741.481834102,1943386836.993831,False,2,11670,2023,5
2009,160,2,3,4,22941000,5,229,564,10629897.390914774,111904522.29805908,False,2,11244,2024,6
2006,91,1,2,4,327930000,5,50,977,154665781.3227707,1861145251.043702,False,2,8415,2020,12
2005,213,0,6,2,135060000,1,137,144,24841511.64165205,943869950.0556098,False,2,14151,2020,9
2020,166,4,5,3,588928000,3,185,21,221908993.31628367,1362467410.9785757,False,2,5856,2024,11
2023,153,3,0,0,7025155000,2,56,492,600458254.117422,42189598375.24532,False,2,8504,2021,6
2023,81,3,1,3,1639619000,6,151,337,608674164.4178574,3977417740.8026657,False,2,13323,2024,5
2005,122,1,3,1,718362000,2,136,350,305269543.7048431,2689906927.684763,False,2,4962,2024,8
2015,177,3,6,2,2305313000,1,149,823,979696145.5484784,6354567164.61418,False,2,0,2020,11
2010,69,3,5,4,106759000,0,118,126,47423348.61554365,815570277.3484886,False,2,18399,2017,6
2022,175,3,3,3,280699000,2,87,163,17238511.46925766,582783571.179855,False,2,8668,2018,3
2023,209,0,1,6,193193000,6,111,231,64456335.81997912,1412313368.3805869,True,1,13755,2018,9
2022,124,1,4,4,272428000,0,174,37,129097610.35219656,2619754660.513395,False,2,5115,2022,3
2019,141,3,1,3,556433000,4,142,708,152813690.25397384,3798615091.9665,False,2,2081,2020,4
2013,38,2,5,6,37786000,6,107,929,18222229.248167302,343155128.46573955,False,2,13900,2022,9
2012,178,0,0,4,313695000,6,34,77,133288766.41385376,2696037646.096329,True,0,6183,2017,12
2007,154,2,6,4,249049000,0,13,477,43313811.56230012,1953715747.6347792,False,2,8885,2025,4
2023,168,1,4,4,313720000,2,160,696,44126201.48950929,2857721109.680742,False,2,13708,2024,6
2023,81,0,4,6,4129225000,0,247,423,1466011275.4337254,13840928481.847254,False,2,2603,2016,2
2010,62,4,2,2,1375214000,1,235,656,617603282.9901011,5202041308.466258,False,2,4582,2017,12
2019,187,4,3,2,1157816000,4,185,493,573048695.4909979,3736442871.171439,False,2,18349,2022,4
2022,64,3,2,5,2782403000,1,27,902,663683256.6908872,16138776767.9668,False,2,37,2021,2
2005,183,5,0,6,1436860000,2,78,167,647893886.7092767,10291069837.096924,False,2,4284,2024,10
2010,165,2,5,5,133500000,3,111,199,7115807.835279813,400466484.1861581,False,2,7249,2018,6
2011,55,4,0,6,438157000,4,33,727,210439382.6893114,3554633780.60106,False,2,2312,2016,4
2013,158,1,5,3,331019000,1,133,848,133044947.62082005,1670851961.82905,False,2,9093,2021,5
2020,238,4,3,3,496190000,3,54,495,46192516.31405876,3247252505.5083776,False,2,4438,2016,7
2014,177,5,6,2,1213729000,5,148,353,420167056.71046096,9272962132.456858,False,2,4570,2021,7
2015,33,3,0,6,110127000,4,37,241,54690090.77875122,560940869.6270233,False,2,7634,2017,6
2019,83,3,6,1,2040597000,3,193,276,633128910.2407756,4689409618.863135,False,2,15038,2022,8
2012,37,2,1,0,371732000,5,74,65,159616269.02195662,896613664.2735348,False,2,14936,2022,3
2008,41,4,6,0,403172000,4,36,555,66032929.92704368,1214473026.893856,False,2,10491,2025,2
2012,80,2,4,5,215775000,3,0,970,74748234.81681727,821864380.136857,False,2,14000,2019,8
2010,176,3,3,4,417681000,1,37,861,79231933.1351207,1899962139.913876,False,2,5611,2024,9
2017,92,3,5,2,315144000,3,185,365,78903079.9925625,2316721685.4745536,True,0,7072,2019,11
2022,64,1,2,2,865949000,1,93,860,245039753.26060092,5005669526.052133,False,2,12901,2019,10
2015,103,5,1,3,529082000,3,148,292,77265281.29604183,4255433144.530884,False,2,14654,2021,9
2023,123,0,4,4,428822000,4,222,248,102743602.49060532,3115995194.233064,False,2,14910,2025,4
2012,10,0,6,3,124979000,6,139,572,57856486.16217097,1196394563.4388509,False,2,14521,2022,7
2022,214,0,2,3,248851000,1,1,974,103331867.45384176,1529497497.3219526,False,2,14082,2020,3
2020,33,5,0,5,198289000,0,186,924,50338747.18611038,1523851682.6169422,False,2,12789,2019,10
2013,125,3,1,3,670705000,5,111,91,209788873.6233509,3841657801.601876,False,2,14412,2019,1
2006,234,0,6,4,484124000,6,75,804,142462110.66943064,4099716241.748844,False,2,842,2023,4
2013,120,2,5,3,2520742000,2,216,498,1227973153.4035397,17512007761.61277,False,2,15839,2021,8
2009,120,0,2,6,1678343000,5,0,702,371129238.0454914,12638943585.237904,False,2,11227,2015,10
2008,30,0,6,2,2788627000,0,74,924,765669567.4042244,22969834395.52077,False,2,17862,2024,3
2015,170,1,4,3,345372000,3,166,334,87343771.80116911,3407637974.5533395,True,1,11139,2020,2
2015,184,0,2,4,246464000,0,31,822,60015292.85183956,1561022184.8522046,False,2,14209,2023,5
2011,74,3,3,3,328713000,4,155,250,68073891.52014163,1294553735.8868372,False,2,11736,2025,4
2017,112,2,3,4,135107000,0,148,307,45141388.537539884,1112278049.6466787,False,2,8100,2019,12
2012,1,1,2,5,2329065000,3,175,910,914044313.3507549,11651088236.60573,False,2,10167,2019,12
2006,188,4,2,1,77115000,4,105,966,34074216.178217456,696353681.3582156,False,2,13904,2022,6
2014,74,3,0,5,4667718000,6,74,116,955405848.2077416,12761072293.900906,False,2,16843,2016,5
2006,28,3,1,3,275880000,0,215,160,83843374.88400623,2001315204.6789336,False,2,1367,2020,3
2018,170,0,0,5,135887000,5,81,660,27057407.814999573,997409622.9467564,False,2,15873,2016,11
2012,148,5,4,4,539842000,2,124,471,65512176.767163865,3583121002.557348,False,2,1878,2024,2
2022,95,1,1,4,784759000,5,137,785,230603772.7291433,7035835986.62827,False,2,16087,2018,7
2011,54,2,6,5,154746000,4,185,443,49425342.39014082,958713754.3266518,False,2,16556,2024,2
2023,105,1,3,6,57482000,4,53,159,21472830.2940854,133537119.80505668,False,2,17092,2017,5
2020,116,1,4,6,144816000,5,0,310,27782087.457331184,1056145244.6373972,False,2,12469,2018,10
2020,159,5,0,6,533648000,5,76,597,64484097.9929265,2385798622.6669936,False,2,4162,2018,5
2010,122,4,6,3,1306868000,4,247,105,118882973.6893564,8649045772.42661,False,2,10614,2020,6
2009,141,0,0,0,1901350000,5,128,854,221059522.0260523,7639949487.350406,False,2,7260,2022,8
2008,238,4,2,6,150995000,3,72,533,75065825.7643888,501749814.9707912,True,2,5201,2023,2
2010,7,4,2,5,395441000,1,37,529,158805421.1942961,3416100421.718633,True,2,16924,2018,1
2013,172,4,1,4,438425000,4,187,415,194372450.49644056,4235323828.407704,False,2,16924,2019,10
2005,190,0,2,3,471069000,2,130,322,60203732.37362368,2748917832.29748,False,2,16405,2021,5
2010,224,2,0,4,527629000,3,37,721,164426487.11123297,1916881579.6044643,False,2,9902,2017,9
2018,237,1,3,4,232818000,6,93,372,95235656.03409567,535050635.9708946,False,2,13395,2018,10
2020,183,3,0,0,225730000,3,185,17,36805611.4134668,1755120002.7212856,True,0,3959,2018,12
2006,202,0,5,1,568371000,6,206,514,100136830.36554632,3461033132.5563807,False,2,16323,2017,7
2007,68,5,0,4,2387569000,4,223,383,956438806.5457108,12274875803.156752,False,2,13354,2017,9
2006,39,5,2,2,99213000,0,148,93,12184979.84454403,542705224.799131,False,2,3611,2016,8
2015,210,2,0,4,969350000,1,34,67,149030250.18589368,3295523544.224761,False,2,6125,2025,2
2013,198,0,5,4,945610000,5,149,355,439001632.4809003,2224067386.2899523,False,2,12581,2024,4
2019,41,2,3,5,274046000,5,144,900,72980653.50154035,1202432810.9436076,False,2,13739,2017,1
2010,113,0,1,3,352312000,3,148,656,83748530.93561463,2578882840.716031,True,2,10497,2020,7
2020,233,5,3,6,232852000,1,71,899,93642158.44533336,1664914060.5633154,True,1,701,2016,8
2007,88,5,3,5,120333000,6,206,992,23684418.904515903,880165235.7126238,False,2,11498,2015,10
2019,218,5,5,6,766639000,4,46,643,120955375.4772833,1534782394.1825907,False,2,9883,2019,7
2007,173,5,1,2,2141731000,2,241,101,880855619.3416034,18378340296.48675,False,2,16087,2016,6
2019,13,5,4,6,263338000,4,44,5,82516970.03650723,2256323532.2505803,False,2,1553,2016,4
2011,120,3,6,5,563612000,3,99,294,127010383.55476156,2019988718.5227668,True,2,1278,2024,2
2006,240,3,3,6,1673131000,1,85,786,120451179.29668012,11336482695.354872,True,0,16701,2016,8
2018,212,2,6,3,632362000,0,189,954,214641500.40576965,4312036205.890855,False,2,12604,2018,7
